schemaVersion,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
1.0.0,true,base,PARTY_ID,keyword,core,,,PARTY_ID
1.0.0,true,base,PARTY_TYPE_CD,keyword,core,,,PARTY_TYPE_CD
1.0.0,true,base,STATUS_CD,keyword,core,,,STATUS_CD
1.0.0,true,base,DISPLAY_NAME,keyword,core,,,DISPLAY_NAME
1.0.0,true,base,FIRST_NAME,keyword,core,,,FIRST_NAME
1.0.0,true,base,LAST_NAME,keyword,core,,,LAST_NAME
1.0.0,true,base,ORG_NAME,keyword,core,,,ORG_NAME
1.0.0,true,base,PRIMARY_LANG_CD,keyword,core,,,PRIMARY_LANG_CD
1.0.0,true,base,COUNTRY_CD,keyword,core,,,COUNTRY_CD
1.0.0,true,base,SOURCE_SYSTEM_CD,keyword,core,,,SOURCE_SYSTEM_CD
1.0.0,true,base,SOURCE_RECORD_ID,keyword,core,,,SOURCE_RECORD_ID
1.0.0,true,base,CREATED_DT,date,core,,,CREATED_DT
1.0.0,true,base,LAST_UPDATE_TS,date,core,,,LAST_UPDATE_TS
