schemaVersion,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
1.0.0,true,base,ADDRESS_ID,keyword,core,,,ADDRESS_ID
1.0.0,true,base,PARTY_ID,keyword,core,,,PARTY_ID
1.0.0,true,base,ADDRESS_TYPE_CD,keyword,core,,,ADDRESS_TYPE_CD
1.0.0,true,base,ADDR_LINE1,keyword,core,,,ADDR_LINE1
1.0.0,true,base,ADDR_LINE2,keyword,core,,,ADDR_LINE2
1.0.0,true,base,CITY,keyword,core,,,CITY
1.0.0,true,base,STATE_PROV_CD,keyword,core,,,STATE_PROV_CD
1.0.0,true,base,POSTAL_CD,keyword,core,,,POSTAL_CD
1.0.0,true,base,COUNTRY_CD,keyword,core,,,COUNTRY_CD
1.0.0,true,base,PRIMARY_IND,keyword,core,,,PRIMARY_IND
1.0.0,true,base,START_DT,date,core,,,START_DT
1.0.0,true,base,END_DT,date,core,,,END_DT
1.0.0,true,base,LAST_UPDATE_TS,date,core,,,LAST_UPDATE_TS
